image_path,variant,count,class,landmarks
/app/alphabet/images/i/hand3_i_dif_seg_4_cropped.jpeg,orig,1,i,"[{'x': 0.42076218128204346, 'y': 0.8526395559310913, 'z': -1.5029899032015237e-06}, {'x': 0.604766309261322, 'y': 0.8087068200111389, 'z': -0.08788999915122986}, {'x': 0.7429331541061401, 'y': 0.6308583617210388, 'z': -0.11463546007871628}, {'x': 0.7036806344985962, 'y': 0.4774942100048065, 'z': -0.13626398146152496}, {'x': 0.566826581954956, 'y': 0.45419004559516907, 'z': -0.13932569324970245}, {'x': 0.6655198931694031, 'y': 0.46209871768951416, 'z': -0.04447561129927635}, {'x': 0.6890106201171875, 'y': 0.33443140983581543, 'z': -0.1138942688703537}, {'x': 0.6552671194076538, 'y': 0.4567762613296509, 'z': -0.1431301087141037}, {'x': 0.6337756514549255, 'y': 0.5328594446182251, 'z': -0.15216822922229767}, {'x': 0.5490321516990662, 'y': 0.43221521377563477, 'z': -0.03510194644331932}, {'x': 0.5629076957702637, 'y': 0.32223832607269287, 'z': -0.1144375205039978}, {'x': 0.5468425750732422, 'y': 0.4820939898490906, 'z': -0.13279138505458832}, {'x': 0.5527012348175049, 'y': 0.5326103568077087, 'z': -0.12596477568149567}, {'x': 0.43552789092063904, 'y': 0.42752605676651, 'z': -0.04222550988197327}, {'x': 0.4442153573036194, 'y': 0.3161897659301758, 'z': -0.12184049934148788}, {'x': 0.449116975069046, 'y': 0.4708343744277954, 'z': -0.1139867976307869}, {'x': 0.4446936547756195, 'y': 0.5724884271621704, 'z': -0.08653649687767029}, {'x': 0.3195013403892517, 'y': 0.4364108443260193, 'z': -0.05798407644033432}, {'x': 0.27975738048553467, 'y': 0.27611255645751953, 'z': -0.10642220824956894}, {'x': 0.25445273518562317, 'y': 0.16839274764060974, 'z': -0.12213412672281265}, {'x': 0.23378077149391174, 'y': 0.05255568027496338, 'z': -0.1262843906879425}]"
/app/alphabet/images/i/hand2_i_left_seg_1_cropped.jpeg,orig,2,i,"[{'x': 0.49715563654899597, 'y': 0.7306075096130371, 'z': -1.4880480421197717e-06}, {'x': 0.6647855043411255, 'y': 0.5977758169174194, 'z': -0.040591392666101456}, {'x': 0.7345629930496216, 'y': 0.3923065960407257, 'z': -0.04067527502775192}, {'x': 0.6730403900146484, 'y': 0.21445782482624054, 'z': -0.0511823371052742}, {'x': 0.535589873790741, 'y': 0.19994574785232544, 'z': -0.049681250005960464}, {'x': 0.6099987626075745, 'y': 0.2899380922317505, 'z': 0.05713868886232376}, {'x': 0.6009896993637085, 'y': 0.15723401308059692, 'z': -0.007100067567080259}, {'x': 0.6088732481002808, 'y': 0.2724359333515167, 'z': -0.042275384068489075}, {'x': 0.6094966530799866, 'y': 0.3602813482284546, 'z': -0.04733718931674957}, {'x': 0.49779433012008667, 'y': 0.30523762106895447, 'z': 0.0465116873383522}, {'x': 0.4739931523799896, 'y': 0.18016758561134338, 'z': -0.05291644483804703}, {'x': 0.5172821879386902, 'y': 0.32489877939224243, 'z': -0.09769412875175476}, {'x': 0.5387663245201111, 'y': 0.41878169775009155, 'z': -0.09393034130334854}, {'x': 0.39586585760116577, 'y': 0.32936444878578186, 'z': 0.020770162343978882}, {'x': 0.37188613414764404, 'y': 0.21079204976558685, 'z': -0.0748070776462555}, {'x': 0.4364005923271179, 'y': 0.3496170938014984, 'z': -0.08458127081394196}, {'x': 0.4693982005119324, 'y': 0.45415371656417847, 'z': -0.05342477932572365}, {'x': 0.29319533705711365, 'y': 0.36127689480781555, 'z': -0.008676131255924702}, {'x': 0.26862528920173645, 'y': 0.21895821392536163, 'z': -0.040911849588155746}, {'x': 0.2584669888019562, 'y': 0.13124869763851166, 'z': -0.04093129187822342}, {'x': 0.2435041069984436, 'y': 0.037770092487335205, 'z': -0.028475435450673103}]"
/app/alphabet/images/i/hand3_i_dif_seg_5_cropped.jpeg,orig,3,i,"[{'x': 0.42007017135620117, 'y': 0.8444170355796814, 'z': -1.6112203411466908e-06}, {'x': 0.6131717562675476, 'y': 0.7939436435699463, 'z': -0.07040473818778992}, {'x': 0.750324010848999, 'y': 0.61307692527771, 'z': -0.08862055838108063}, {'x': 0.7191040515899658, 'y': 0.45919352769851685, 'z': -0.10495924949645996}, {'x': 0.5807657837867737, 'y': 0.4440908432006836, 'z': -0.10559439659118652}, {'x': 0.6482675075531006, 'y': 0.45210546255111694, 'z': -0.029274700209498405}, {'x': 0.6789672374725342, 'y': 0.32255712151527405, 'z': -0.09523824602365494}, {'x': 0.6602741479873657, 'y': 0.44846048951148987, 'z': -0.12566116452217102}, {'x': 0.6421288251876831, 'y': 0.5272307395935059, 'z': -0.13499945402145386}, {'x': 0.5398052930831909, 'y': 0.42743298411369324, 'z': -0.026088334619998932}, {'x': 0.5571602582931519, 'y': 0.30853259563446045, 'z': -0.10215502977371216}, {'x': 0.5567308664321899, 'y': 0.47475361824035645, 'z': -0.12265879660844803}, {'x': 0.5610653162002563, 'y': 0.5394203662872314, 'z': -0.1167420893907547}, {'x': 0.43114450573921204, 'y': 0.42523372173309326, 'z': -0.03715551644563675}, {'x': 0.44804853200912476, 'y': 0.30790114402770996, 'z': -0.11122583597898483}, {'x': 0.46380290389060974, 'y': 0.46708667278289795, 'z': -0.10266448557376862}, {'x': 0.45551836490631104, 'y': 0.5739589929580688, 'z': -0.07485953718423843}, {'x': 0.31808024644851685, 'y': 0.43394753336906433, 'z': -0.05523732677102089}, {'x': 0.27369722723960876, 'y': 0.26770132780075073, 'z': -0.09734468907117844}, {'x': 0.2553020119667053, 'y': 0.1625489592552185, 'z': -0.10877617448568344}, {'x': 0.23739874362945557, 'y': 0.04889330267906189, 'z': -0.11044101417064667}]"
/app/alphabet/images/i/hand1_i_right_seg_5_cropped.jpeg,orig,4,i,"[{'x': 0.462584912776947, 'y': 0.8315238952636719, 'z': -1.2685549108937266e-06}, {'x': 0.6207903027534485, 'y': 0.7227710485458374, 'z': -0.09395921230316162}, {'x': 0.7215555906295776, 'y': 0.5040490627288818, 'z': -0.12756876647472382}, {'x': 0.6489683389663696, 'y': 0.33310770988464355, 'z': -0.15596744418144226}, {'x': 0.5066456198692322, 'y': 0.28473085165023804, 'z': -0.16238583624362946}, {'x': 0.6317309141159058, 'y': 0.3558749258518219, 'z': -0.024540720507502556}, {'x': 0.631677508354187, 'y': 0.2217002660036087, 'z': -0.09577751159667969}, {'x': 0.6247007250785828, 'y': 0.34008553624153137, 'z': -0.12257321178913116}, {'x': 0.6260251998901367, 'y': 0.4175069034099579, 'z': -0.12549181282520294}, {'x': 0.4991706609725952, 'y': 0.3503665626049042, 'z': -0.009282493032515049}, {'x': 0.5085144639015198, 'y': 0.23043878376483917, 'z': -0.0772520899772644}, {'x': 0.5222836136817932, 'y': 0.3684966266155243, 'z': -0.08485428988933563}, {'x': 0.5375867486000061, 'y': 0.3798140585422516, 'z': -0.07231121510267258}, {'x': 0.38853779435157776, 'y': 0.3705284297466278, 'z': -0.01292277779430151}, {'x': 0.386493980884552, 'y': 0.2617332339286804, 'z': -0.0904560387134552}, {'x': 0.4072258770465851, 'y': 0.4321315884590149, 'z': -0.057132769376039505}, {'x': 0.4257138669490814, 'y': 0.5493407249450684, 'z': -0.009329220280051231}, {'x': 0.27815693616867065, 'y': 0.4061594605445862, 'z': -0.026768606156110764}, {'x': 0.23971478641033173, 'y': 0.23793402314186096, 'z': -0.07053004205226898}, {'x': 0.22223137319087982, 'y': 0.13485807180404663, 'z': -0.060778792947530746}, {'x': 0.2150411605834961, 'y': 0.034142106771469116, 'z': -0.04227234423160553}]"
/app/alphabet/images/i/hand5_i_dif_seg_5_cropped.jpeg,orig,5,i,"[{'x': 0.4497743248939514, 'y': 0.73627108335495, 'z': -1.1497980949570774e-06}, {'x': 0.6126858592033386, 'y': 0.6567861437797546, 'z': -0.09257057309150696}, {'x': 0.7151769995689392, 'y': 0.503007173538208, 'z': -0.13359808921813965}, {'x': 0.6070043444633484, 'y': 0.38947606086730957, 'z': -0.17193806171417236}, {'x': 0.4530084431171417, 'y': 0.3843448758125305, 'z': -0.19549886882305145}, {'x': 0.627602756023407, 'y': 0.3428460657596588, 'z': -0.026916010305285454}, {'x': 0.6293138265609741, 'y': 0.19578228890895844, 'z': -0.10761936008930206}, {'x': 0.6189427375793457, 'y': 0.2919534742832184, 'z': -0.1540912389755249}, {'x': 0.6139177680015564, 'y': 0.3682957887649536, 'z': -0.17288050055503845}, {'x': 0.5073195695877075, 'y': 0.33287233114242554, 'z': -0.018093449994921684}, {'x': 0.5088288187980652, 'y': 0.19566237926483154, 'z': -0.11318579316139221}, {'x': 0.5129958987236023, 'y': 0.31349271535873413, 'z': -0.15945692360401154}, {'x': 0.5283962488174438, 'y': 0.3881317675113678, 'z': -0.16885168850421906}, {'x': 0.40043070912361145, 'y': 0.341089129447937, 'z': -0.02568071149289608}, {'x': 0.40949323773384094, 'y': 0.21792037785053253, 'z': -0.11124446988105774}, {'x': 0.42274561524391174, 'y': 0.3326866626739502, 'z': -0.12135718762874603}, {'x': 0.4335393011569977, 'y': 0.42844659090042114, 'z': -0.10237015783786774}, {'x': 0.2976447343826294, 'y': 0.36284804344177246, 'z': -0.04221448674798012}, {'x': 0.30609261989593506, 'y': 0.21749335527420044, 'z': -0.08175811916589737}, {'x': 0.3142585754394531, 'y': 0.1290474236011505, 'z': -0.09115802496671677}, {'x': 0.3214936852455139, 'y': 0.0456961989402771, 'z': -0.08931491523981094}]"
/app/alphabet/images/i/hand1_i_right_seg_3_cropped.jpeg,rot15,6,i,"[{'x': 0.5885112285614014, 'y': 0.7821497321128845, 'z': -1.0410208233224694e-06}, {'x': 0.7271868586540222, 'y': 0.6726669073104858, 'z': -0.07592383027076721}, {'x': 0.7772793769836426, 'y': 0.44093188643455505, 'z': -0.09594176709651947}, {'x': 0.6562278270721436, 'y': 0.2871606647968292, 'z': -0.1131177693605423}, {'x': 0.5018048286437988, 'y': 0.2747439742088318, 'z': -0.11716961860656738}, {'x': 0.6451801657676697, 'y': 0.32410168647766113, 'z': -0.018971780315041542}, {'x': 0.6076220870018005, 'y': 0.18734268844127655, 'z': -0.09218627959489822}, {'x': 0.6090345978736877, 'y': 0.2645972967147827, 'z': -0.12737023830413818}, {'x': 0.6173065304756165, 'y': 0.3452712297439575, 'z': -0.1331498771905899}, {'x': 0.5120519399642944, 'y': 0.34802159667015076, 'z': -0.013400597497820854}, {'x': 0.47330036759376526, 'y': 0.22691862285137177, 'z': -0.10830491781234741}, {'x': 0.514004647731781, 'y': 0.33037319779396057, 'z': -0.14631594717502594}, {'x': 0.5394850373268127, 'y': 0.4023541212081909, 'z': -0.14228709042072296}, {'x': 0.3976072669029236, 'y': 0.38833943009376526, 'z': -0.02388095296919346}, {'x': 0.3505576550960541, 'y': 0.2769251763820648, 'z': -0.1265164017677307}, {'x': 0.4405401945114136, 'y': 0.4094257950782776, 'z': -0.1420331597328186}, {'x': 0.5054956078529358, 'y': 0.526125967502594, 'z': -0.11577791720628738}, {'x': 0.29483598470687866, 'y': 0.4413473606109619, 'z': -0.039168693125247955}, {'x': 0.1840600073337555, 'y': 0.3132459223270416, 'z': -0.09234333783388138}, {'x': 0.11294206976890564, 'y': 0.22358225286006927, 'z': -0.11092223227024078}, {'x': 0.0518241822719574, 'y': 0.13207870721817017, 'z': -0.11085297912359238}]"
/app/alphabet/images/i/hand1_i_top_seg_2_cropped.jpeg,orig,7,i,"[{'x': 0.5452160835266113, 'y': 0.7671422958374023, 'z': -1.4962364502935088e-06}, {'x': 0.6963228583335876, 'y': 0.6332182884216309, 'z': -0.04680846631526947}, {'x': 0.7458692789077759, 'y': 0.40982189774513245, 'z': -0.05294468626379967}, {'x': 0.6409501433372498, 'y': 0.2522560954093933, 'z': -0.06183968111872673}, {'x': 0.4961862564086914, 'y': 0.23625105619430542, 'z': -0.05675366893410683}, {'x': 0.6220106482505798, 'y': 0.32792460918426514, 'z': 0.006020272150635719}, {'x': 0.6023620963096619, 'y': 0.161661297082901, 'z': -0.05706382915377617}, {'x': 0.6192272901535034, 'y': 0.2706393003463745, 'z': -0.09117629379034042}, {'x': 0.6278547048568726, 'y': 0.35672298073768616, 'z': -0.09987054765224457}, {'x': 0.5138315558433533, 'y': 0.3325447738170624, 'z': 0.0022476131562143564}, {'x': 0.4793226420879364, 'y': 0.16829393804073334, 'z': -0.06648997217416763}, {'x': 0.5280800461769104, 'y': 0.3052659034729004, 'z': -0.0943811908364296}, {'x': 0.5569999814033508, 'y': 0.36243170499801636, 'z': -0.09297552704811096}, {'x': 0.4191243052482605, 'y': 0.3557911813259125, 'z': -0.013428461737930775}, {'x': 0.39265477657318115, 'y': 0.21795091032981873, 'z': -0.07909668982028961}, {'x': 0.4639049768447876, 'y': 0.36604708433151245, 'z': -0.07079656422138214}, {'x': 0.5002007484436035, 'y': 0.4758731722831726, 'z': -0.04177829995751381}, {'x': 0.3214147388935089, 'y': 0.39032918214797974, 'z': -0.03408975899219513}, {'x': 0.26912155747413635, 'y': 0.23774020373821259, 'z': -0.0598989762365818}, {'x': 0.2479446828365326, 'y': 0.14082948863506317, 'z': -0.05850209295749664}, {'x': 0.2187175750732422, 'y': 0.04122796654701233, 'z': -0.05214185267686844}]"
/app/alphabet/images/i/hand1_i_bot_seg_3_cropped.jpeg,orig,8,i,"[{'x': 0.45721328258514404, 'y': 0.7975587248802185, 'z': -1.589533553669753e-06}, {'x': 0.6242095828056335, 'y': 0.690435528755188, 'z': -0.06778796017169952}, {'x': 0.7402183413505554, 'y': 0.5041391849517822, 'z': -0.089532271027565}, {'x': 0.6811781525611877, 'y': 0.3262195587158203, 'z': -0.11710342019796371}, {'x': 0.5377964377403259, 'y': 0.2608664929866791, 'z': -0.12850795686244965}, {'x': 0.6299911141395569, 'y': 0.35053423047065735, 'z': 0.01923402212560177}, {'x': 0.628036618232727, 'y': 0.19923070073127747, 'z': -0.060446009039878845}, {'x': 0.6150649189949036, 'y': 0.32237952947616577, 'z': -0.10097663104534149}, {'x': 0.6098751425743103, 'y': 0.41523805260658264, 'z': -0.1057252362370491}, {'x': 0.5029594898223877, 'y': 0.3398481607437134, 'z': 0.019975220784544945}, {'x': 0.5001479387283325, 'y': 0.2095419019460678, 'z': -0.08013243973255157}, {'x': 0.5153276920318604, 'y': 0.3791486322879791, 'z': -0.11983069777488708}, {'x': 0.5248481035232544, 'y': 0.47410082817077637, 'z': -0.11335068941116333}, {'x': 0.39469921588897705, 'y': 0.346611887216568, 'z': 0.004122776910662651}, {'x': 0.3815268874168396, 'y': 0.20498482882976532, 'z': -0.08731227368116379}, {'x': 0.4160458445549011, 'y': 0.3621913194656372, 'z': -0.0872097983956337}, {'x': 0.4336169958114624, 'y': 0.48245322704315186, 'z': -0.05191455036401749}, {'x': 0.28562062978744507, 'y': 0.36697331070899963, 'z': -0.01789010688662529}, {'x': 0.25246602296829224, 'y': 0.21394170820713043, 'z': -0.046187855303287506}, {'x': 0.2383769154548645, 'y': 0.12665067613124847, 'z': -0.040725257247686386}, {'x': 0.22508320212364197, 'y': 0.038746178150177, 'z': -0.023682156577706337}]"
/app/alphabet/images/i/hand2_i_right_seg_1_cropped.jpeg,orig,9,i,"[{'x': 0.439782977104187, 'y': 0.7757644057273865, 'z': -8.382456826439011e-07}, {'x': 0.6458932757377625, 'y': 0.6672284603118896, 'z': -0.06177907809615135}, {'x': 0.7554596662521362, 'y': 0.4484900236129761, 'z': -0.0647340714931488}, {'x': 0.6864749789237976, 'y': 0.2626887857913971, 'z': -0.07165084034204483}, {'x': 0.5204029679298401, 'y': 0.2625703811645508, 'z': -0.06553420424461365}, {'x': 0.6111698150634766, 'y': 0.3120347559452057, 'z': 0.034911543130874634}, {'x': 0.5778565406799316, 'y': 0.15563733875751495, 'z': -0.025453368201851845}, {'x': 0.5803427696228027, 'y': 0.24049663543701172, 'z': -0.05266080051660538}, {'x': 0.6005941033363342, 'y': 0.32590171694755554, 'z': -0.055940330028533936}, {'x': 0.4895412027835846, 'y': 0.3249291181564331, 'z': 0.03202443569898605}, {'x': 0.44834157824516296, 'y': 0.18896368145942688, 'z': -0.07777611166238785}, {'x': 0.48512375354766846, 'y': 0.3435452878475189, 'z': -0.12445194274187088}, {'x': 0.5161814093589783, 'y': 0.44959545135498047, 'z': -0.11973503232002258}, {'x': 0.3755638599395752, 'y': 0.34771355986595154, 'z': 0.012724467553198338}, {'x': 0.34046775102615356, 'y': 0.22233307361602783, 'z': -0.0990474745631218}, {'x': 0.4026673138141632, 'y': 0.37242060899734497, 'z': -0.1234411895275116}, {'x': 0.4425288438796997, 'y': 0.48967933654785156, 'z': -0.09910282492637634}, {'x': 0.26072239875793457, 'y': 0.3817827105522156, 'z': -0.011232225224375725}, {'x': 0.23655983805656433, 'y': 0.23593279719352722, 'z': -0.06213264912366867}, {'x': 0.22446846961975098, 'y': 0.14139696955680847, 'z': -0.08245547115802765}, {'x': 0.20933279395103455, 'y': 0.046819865703582764, 'z': -0.08366760611534119}]"
/app/alphabet/images/i/hand2_i_right_seg_3_cropped.jpeg,orig,10,i,"[{'x': 0.4406099021434784, 'y': 0.7873967289924622, 'z': -7.974613822625543e-07}, {'x': 0.6401544213294983, 'y': 0.674249529838562, 'z': -0.050571054220199585}, {'x': 0.7483003735542297, 'y': 0.4626544117927551, 'z': -0.0534818209707737}, {'x': 0.6961818337440491, 'y': 0.27764788269996643, 'z': -0.06353437900543213}, {'x': 0.5369494557380676, 'y': 0.2707372009754181, 'z': -0.06530719995498657}, {'x': 0.6172001361846924, 'y': 0.32835260033607483, 'z': 0.04825865849852562}, {'x': 0.5969982147216797, 'y': 0.16782675683498383, 'z': -0.008045255206525326}, {'x': 0.5966008901596069, 'y': 0.22062095999717712, 'z': -0.04193798452615738}, {'x': 0.6079005599021912, 'y': 0.3013746440410614, 'z': -0.04981587082147598}, {'x': 0.49155697226524353, 'y': 0.33637535572052, 'z': 0.041290033608675}, {'x': 0.4614616334438324, 'y': 0.1893366426229477, 'z': -0.05983427166938782}, {'x': 0.4845796823501587, 'y': 0.33617261052131653, 'z': -0.11111555248498917}, {'x': 0.5051983594894409, 'y': 0.4531501829624176, 'z': -0.11028698086738586}, {'x': 0.37895721197128296, 'y': 0.35622984170913696, 'z': 0.019800251349806786}, {'x': 0.35360461473464966, 'y': 0.22687111794948578, 'z': -0.08031803369522095}, {'x': 0.4033552408218384, 'y': 0.3709055483341217, 'z': -0.10522289574146271}, {'x': 0.43390947580337524, 'y': 0.4931986331939697, 'z': -0.08334244787693024}, {'x': 0.265597403049469, 'y': 0.3881753385066986, 'z': -0.005774578079581261}, {'x': 0.24031931161880493, 'y': 0.24041587114334106, 'z': -0.04491456598043442}, {'x': 0.23008298873901367, 'y': 0.14019253849983215, 'z': -0.05965297669172287}, {'x': 0.21973273158073425, 'y': 0.0448058545589447, 'z': -0.058955736458301544}]"
